epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
84,245.718,1.52183,1.08047,1.21127,0.8791,0.85,0.87968,0.46043,1.61746,0.99519,1.28301,0.0003566,0.0003566,0.0003566
85,248.636,1.45872,1.08957,1.19078,0.92437,0.9,0.93433,0.43929,1.66156,0.99317,1.26588,0.0003368,0.0003368,0.0003368
86,251.559,1.45016,1.07084,1.15398,0.88155,0.9,0.93049,0.43496,1.53477,0.97889,1.26656,0.000317,0.000317,0.000317
87,254.445,1.49298,1.14092,1.26133,0.90015,0.9,0.93173,0.4411,1.46056,0.96906,1.25047,0.0002972,0.0002972,0.0002972
88,257.36,1.41305,1.0817,1.20366,0.90426,0.94475,0.93829,0.44508,1.49886,0.96404,1.23437,0.0002774,0.0002774,0.0002774
89,260.404,1.45605,1.07968,1.222,0.86297,0.9449,0.93546,0.43356,1.58718,0.99541,1.24229,0.0002576,0.0002576,0.0002576
90,263.455,1.46484,1.04377,1.17184,0.81724,0.89458,0.88084,0.45243,1.65186,0.97621,1.27611,0.0002378,0.0002378,0.0002378
91,317.099,1.37159,0.92778,1.18134,0.85516,0.88613,0.8795,0.46367,1.60677,0.96564,1.25982,0.000218,0.000218,0.000218
92,320.053,1.44802,0.91514,1.21248,0.8387,0.9,0.88371,0.44312,1.62712,0.94258,1.26908,0.0001982,0.0001982,0.0001982
93,323.105,1.40007,0.89434,1.19849,0.84527,0.9,0.88148,0.46548,1.61088,0.94793,1.27707,0.0001784,0.0001784,0.0001784
94,326.038,1.39065,0.88654,1.17603,0.90256,0.92691,0.92389,0.49679,1.61706,1.01032,1.28018,0.0001586,0.0001586,0.0001586
95,328.967,1.31976,0.84819,1.18028,0.87698,0.9,0.92286,0.47123,1.59031,0.93965,1.2707,0.0001388,0.0001388,0.0001388
96,332.017,1.40542,0.87864,1.20406,0.90002,0.90023,0.91959,0.49051,1.55036,0.92067,1.2547,0.000119,0.000119,0.000119
97,335.068,1.47034,0.87629,1.21793,0.88597,0.95,0.92282,0.49315,1.55481,0.92002,1.2495,9.92e-05,9.92e-05,9.92e-05
98,338.061,1.38353,0.86285,1.18884,0.94509,0.95,0.92679,0.4938,1.54099,0.92509,1.24378,7.94e-05,7.94e-05,7.94e-05
99,341.037,1.37209,0.82057,1.19765,0.89442,0.95,0.91981,0.51745,1.51811,0.91161,1.23604,5.96e-05,5.96e-05,5.96e-05
100,344.071,1.45151,0.85798,1.22609,0.90333,0.93496,0.91988,0.4997,1.522,0.9132,1.23961,3.98e-05,3.98e-05,3.98e-05
